Timestamp,Dew Point,Contactor Pressure,Natural Gas Moisture,Contactor Temperature,Glycol Moisture,Glycol Level
2022-01-01,-10.485668596974731,182.0,1.813582872678172,45.540540050939406,0.41,99.35
2022-01-02,-13.739576205950328,182.0,1.4354436230080792,41.61310651259337,0.39,99.29
2022-01-03,-14.659537252651802,183.0,1.3377257479033924,41.19464459595506,0.37,99.23
2022-01-04,-12.612641508788329,183.0,1.552262371035657,44.22177152774039,0.37,99.17
2022-01-05,-13.89359746729923,181.056036,1.4240080567941442,44.474718726702456,0.33,99.11
2022-01-06,-9.698754957209871,183.0,1.911082740986003,46.705501690716005,0.41,99.05
2022-01-07,-19.868304955804547,183.0,0.9069753563376816,39.4243885275878,0.27,98.99
2022-01-08,-17.260244741862806,182.0004158,1.1075677722091224,36.46563508830022,0.39,98.93
2022-01-09,-19.394441168875236,182.99753571,0.9401926066715248,39.430038909764775,0.28,98.87
2022-01-10,-15.233550837252182,183.0,1.2825628369432958,39.87542525551138,0.38,98.81
2022-01-11,-15.68824638984347,183.0,1.2403310465650257,41.23153664330435,0.34,98.75
2022-01-12,-16.03427154175489,183.0,1.2090372063651686,40.71889486144328,0.34,98.69
2022-01-13,-13.064335463698058,183.0,1.5024245375333145,44.057605554477576,0.36,98.63
2022-01-14,-12.55234127620588,183.0,1.5590268765448878,43.82574633077597,0.38,98.57
2022-01-15,-13.072204742888973,181.0,1.5117661790661718,42.15421069126385,0.4,98.51
2022-01-16,-12.272682281957684,180.62056923,1.6036042141078068,42.11510118913691,0.43,98.45
2022-01-17,-14.853223728849173,180.43037796,1.3304507440258218,41.92718885848996,0.35,98.39
2022-01-18,-12.053225725093398,181.0,1.626998991563245,42.82346296052957,0.42,98.33
2022-01-19,-14.16192866241903,182.0,1.3919631764799874,42.95282394148774,0.35,98.27
2022-01-20,-5.813119458852611,182.0,2.5130945561038525,42.706611116185215,0.9,98.21
2022-01-21,-8.279680424765445,183.0,2.111408862873127,44.89118500816591,0.53,98.15
2022-01-22,-13.369340826597806,183.0,1.4695906041099815,43.604436546423024,0.36,98.09
2022-01-23,-13.236354767799185,182.80450058,1.4848034800859855,43.29704164826467,0.37,98.03
2022-01-24,-13.356671211375556,180.51625061,1.483380455051161,44.70273167866465,0.34,97.97
2022-01-25,-12.452219362426092,181.06829071,1.5806028611204903,44.45996004452618,0.37,97.91
2022-01-26,-14.172054455928446,180.40404892,1.3985170157888274,41.913616073504485,0.37,97.85
2022-01-27,3.2212449961187986,183.63627625,4.554207142220399,45.16357792309723,1.33,97.79
2022-01-28,-11.641032086902612,181.30846405,1.674059329017166,43.0401625469296,0.43,97.73
2022-01-29,-7.409730214425281,183.0,2.243320929809897,44.37609661170029,0.62,97.67
2022-01-30,-15.273529411479728,183.0,1.278798357595307,41.84676540361869,0.34,97.61
2022-01-31,-9.50931628432886,181.0,1.9498753138933005,42.64939623754733,0.55,97.55
2022-02-01,-11.63142775474364,183.1597023,1.6647888110869449,46.19372520353851,0.36,97.49
2022-02-02,-7.947019330669434,180.96358871,2.175826906169755,38.89185924081703,0.94,97.43
2022-02-03,-18.328030842262592,180.06072998,1.0292876621367195,40.34645333708252,0.29,97.37
2022-02-04,-12.121914836648443,181.0,1.618989994473771,47.13866008931979,0.33,97.31
2022-02-05,-16.01242683606472,181.63674545,1.2166089914016196,42.51610675169088,0.31,97.25
2022-02-06,-11.462083751909065,182.0,1.691674616451469,44.97400211669104,0.39,97.19
2022-02-07,-15.848379966978229,182.0,1.2299219390688805,39.44610003738339,0.37,97.13
2022-02-08,-17.970598805451914,182.68234634,1.0478265582515116,37.33177219612792,0.35,97.07
2022-02-09,-15.459586732806798,182.68398285,1.2627580554937126,39.543977808571526,0.38,97.01
2022-02-10,-16.32390889467291,183.0,1.1833924901734352,40.290258998125424,0.34,96.95
2022-02-11,-12.766978181984484,183.05932236,1.5347627363075516,40.33996147651271,0.46,96.89
2022-02-12,-13.013912522704176,181.90103531,1.513518531766356,41.031777706182986,0.43,96.83
2022-02-13,-13.516114184431814,181.0,1.4639032342746676,39.58516665658026,0.45,96.77
2022-02-14,-15.021268731427824,180.54757309,1.3136265253069657,42.22143867178202,0.34,96.71
2022-02-15,-14.634860856068713,181.8278904,1.3454718155377403,42.25088459710318,0.35,96.65
2022-02-16,-15.314919754272182,183.0,1.2749114385667513,39.30307706706301,0.39,96.59
2022-02-17,-16.764335080280205,181.83159447,1.149892058644657,42.02889383736184,0.3,96.53
2022-02-18,-16.699769001706613,181.95931816,1.1549197020827564,39.734640635715095,0.34,96.47
2022-02-19,-17.358077037885096,180.94499588,1.1034866889355055,39.31895673722087,0.33,96.41
2022-02-20,-16.85492867363439,176.50982094,1.1634146850552316,39.5054745366193,0.34,96.35
2022-02-21,-15.274490476699556,178.01728439,1.3007267764136563,44.26929694107234,0.3,96.29
2022-02-23,-16.579357471078083,181.76625061,1.1660599820079705,39.3769581679964,0.35,96.23
2022-02-24,-18.166313672451,180.0,1.0420860121775537,42.73669861683479,0.26,96.17
2022-02-25,-13.205149874756955,183.0,1.487184695992167,44.376696995052285,0.35,96.11
2022-02-27,-13.868481694203211,183.0,1.4172486250933531,41.88219239416924,0.38,96.05
2022-02-28,-16.97777256381204,182.86486816,1.1278107995634004,41.07321493769774,0.31,95.99
2022-03-01,-10.332656164160651,182.90999222,1.8277888724312457,44.96198235209224,0.43,95.93
2022-03-02,-14.968620499543276,182.41592789,1.3103478435794416,38.56458014716788,0.42,95.87
2022-03-03,-15.114577065735148,180.45450592,1.3050749713320082,42.65015377753293,0.33,95.81
2022-03-04,-20.296853832221014,183.0,0.8778601703346836,46.63777319362104,0.18,95.75
2022-03-05,-23.47841973278696,183.74205017,0.6850925590682104,43.75558240973504,0.16,95.69
2022-03-06,-9.528703557565962,183.0,1.9341541616161928,44.739351005549,0.47,95.63
2022-03-07,-15.12748372928064,182.64542389,1.2941487704387633,41.0019610832322,0.36,95.57
2022-03-08,-18.34441346449776,183.0,1.0177258623760717,35.79555915138187,0.37,95.51
2022-03-09,-8.785652573728328,183.99430084,2.0311850719828106,42.55428574569425,0.61,95.45
2022-03-10,-13.635541098911231,183.29181671,1.44004856157375,40.50739415369405,0.42,95.39
