Timestamp,Sieve,AWMR,Temperature,Pressure,Natural Gas Flow,Campaign
2022-04-01,A,2.559999943,29.084619,66.06210938,0.013983486,Others
2022-05-01,A,2.049999952,31.38684711,76.08333984,-0.003250306,Others
2022-06-01,A,3.628999949,31.2500073,76.0773291,0.564766172,Others
2022-09-01,A,3.203999996,30.39165074,74.88457031,4.6383765,Actual
2022-10-01,A,3.558000088,33.37881755,76.19594727,4.837516875,Actual
2022-10-01,A,3.569999933,32.17839323,71.54214844,4.7216655,Actual
2022-01-17,A,3.14199996,38.8930257,75.49510254,6.42815,Others
2022-01-20,A,3.782999992,41.81519972,76.26975098,6.806845,Others
2022-01-21,A,3.664000034,39.15462979,75.2173291,6.53724,Others
2022-01-21,A,3.671000004,40.3494365,75.86621094,5.3404655,Others
2022-01-22,A,3.614000082,39.13773995,76.78004883,4.8310675,Others
2022-01-22,A,3.687999964,40.72499098,76.47373535,5.202014,Others
2022-01-23,A,3.529999971,38.90725168,77.13731445,5.0377495,Others
2022-01-24,A,3.211999893,39.31615931,75.99853516,5.9983375,Others
2022-01-24,A,3.516000032,38.82969647,70.18192383,7.2537185,Others
2022-01-25,A,3.312999964,38.83614943,72.36790039,7.000092,Others
2022-01-25,A,3.473999977,39.5558636,75.2863623,2.536384,Others
2022-01-26,A,2.703999996,37.93880741,75.82181152,6.9786365,Others
2022-01-27,A,3.766000032,36.27573083,76.34937988,6.1538325,Others
2022-01-27,A,3.799000025,36.72422129,76.43563965,7.1213045,Others
2022-01-28,A,3.713000059,36.10207065,76.40875,5.5776955,Others
2022-01-28,A,3.838000059,36.32275046,76.49527832,5.040743,Others
2022-01-29,A,3.799999952,38.30440871,76.41283691,3.67828175,Others
2022-01-31,A,2.184000015,36.96772124,76.77351563,3.8053155,Others
2022-01-02,A,4.264999866,38.20782401,76.62423828,2.75291775,Others
2022-04-02,A,4.264999866,37.22274605,76.69001953,4.0588875,Others
2022-05-02,A,4.247000217,35.62675516,76.49946289,5.8280955,Others
2022-06-02,A,3.857000113,33.64761491,72.72111816,7.082596,Others
2022-12-02,A,4.066999912,38.81810246,76.59927246,5.8241925,Actual
2022-02-13,A,3.983999968,36.15234406,72.24945313,4.7365615,Others
2022-02-14,A,3.979000092,34.3077441,76.52748535,5.025504,Others
2022-02-15,A,3.868999958,36.95480162,76.57802734,4.841712,Others
2022-02-15,A,3.885999918,35.80135654,76.44470215,3.54912475,Others
2022-02-16,A,4.196000099,34.69724654,76.83330078,6.0320765,Others
2022-02-18,A,3.980999947,34.54333739,76.7062793,6.338457,Others
2022-02-19,A,3.940999985,37.18934395,76.72875488,6.037293,Others
2022-02-19,A,3.766000032,37.39685862,76.86632324,6.1707805,Others
2022-02-20,A,3.812000036,35.6582024,76.72353516,6.532316,Others
2022-02-20,A,3.734999895,36.42424641,76.83528809,5.361793,Others
2022-02-21,A,3.51699996,35.67832929,76.92318848,5.9067995,Others
2022-02-21,A,3.609999895,37.56862257,76.9465625,7.3312545,Others
2022-02-22,A,3.655999899,35.67166366,76.50156738,5.4243685,Others
2022-02-22,A,3.647000074,36.1717255,76.68174316,4.7910635,Others
2022-02-23,A,3.502000093,33.31667334,76.45805176,2.9209925,Others
2022-02-24,A,3.515000105,34.57061693,74.63355957,5.812467,Others
2022-02-24,A,3.54399991,36.6758404,76.27728516,6.4910125,Others
2022-02-25,A,3.753000021,34.18019376,76.18498047,6.192143,Others
2022-02-25,A,4.083000183,35.0569738,76.23504883,4.323257,Others
2022-02-26,A,3.835999966,35.9277155,76.23294922,6.188025,Others
2022-02-26,A,3.910000086,35.59500589,76.26065918,4.616933,Others
2022-02-27,A,3.832999945,36.95409634,76.20036621,3.677538,Others
2022-02-03,A,4.074999809,34.45726036,76.41234863,4.0261055,Others
2022-02-03,A,4.019000053,32.99088503,76.1174707,7.1092775,Others
